iteration,train/episode/rew total/mean,train/episode/rew action rate/mean,train/episode/rew action smoothness 1/mean,train/episode/rew action smoothness 2/mean,train/episode/rew ang vel xy/mean,train/episode/rew collision/mean,train/episode/rew dof acc/mean,train/episode/rew dof pos limits/mean,train/episode/rew dof vel/mean,train/episode/rew feet clearance cmd linear/mean,train/episode/rew feet slip/mean,train/episode/rew jump/mean,train/episode/rew lin vel z/mean,train/episode/rew orientation control/mean,train/episode/rew raibert heuristic/mean,train/episode/rew stand still/mean,train/episode/rew torques/mean,train/episode/rew tracking ang vel/mean,train/episode/rew tracking contacts shaped force/mean,train/episode/rew tracking contacts shaped vel/mean,train/episode/rew tracking lin vel/mean
0,0.001,-0.04,-0.017,-0.05,-0.001,-0.012,-0.037,-0.004,-0.005,-0.117,-0.003,-0.037,-0.004,-0.052,-0.195,0,-0.025,0.022,-0.166,-0.076,0.013
10,0.006,-0.498,-0.232,-0.69,-0.018,-0.758,-0.466,-0.005,-0.043,-2.366,-0.059,-0.166,-0.016,-2.654,-3.686,-4.155,-0.216,0.381,-1.899,-0.821,0.302
20,0.008,-0.759,-0.355,-1.059,-0.022,-1.004,-0.647,-0.006,-0.057,-3.003,-0.095,-0.2,-0.018,-3.206,-4.309,-6.051,-0.31,0.525,-2.856,-1.026,0.447
30,0.006,-0.714,-0.332,-0.992,-0.021,-0.874,-0.633,-0.007,-0.056,-2.714,-0.089,-0.175,-0.017,-3.244,-4.073,-5.644,-0.28,0.449,-2.373,-0.978,0.374
40,0.004,-0.653,-0.302,-0.898,-0.02,-0.525,-0.635,-0.008,-0.056,-2.404,-0.077,-0.156,-0.016,-2.894,-3.94,-5.607,-0.239,0.36,-1.75,-0.937,0.298
50,0.002,-0.628,-0.288,-0.854,-0.02,-0.378,-0.649,-0.004,-0.058,-2.201,-0.07,-0.155,-0.016,-2.662,-3.786,-5.491,-0.215,0.304,-1.366,-0.929,0.252
60,0.002,-0.704,-0.321,-0.946,-0.022,-0.497,-0.712,-0.002,-0.063,-2.24,-0.088,-0.165,-0.018,-2.82,-3.738,-6.053,-0.234,0.315,-1.441,-0.998,0.258
70,0.003,-0.834,-0.379,-1.111,-0.024,-0.725,-0.818,-0.001,-0.073,-2.397,-0.112,-0.171,-0.018,-3.126,-4.038,-7.313,-0.274,0.358,-1.649,-1.105,0.305
80,0.003,-1.025,-0.463,-1.351,-0.026,-1.018,-0.945,-0.002,-0.085,-2.636,-0.14,-0.18,-0.018,-3.379,-4.366,-8.634,-0.339,0.424,-2.066,-1.229,0.377
90,0.005,-1.569,-0.704,-2.052,-0.033,-1.919,-1.283,-0.003,-0.116,-3.611,-0.235,-0.208,-0.02,-4.106,-5.796,-9.372,-0.532,0.643,-3.422,-1.597,0.514
100,0.009,-2.403,-1.074,-3.112,-0.044,-3.209,-1.792,-0.007,-0.163,-5.035,-0.404,-0.246,-0.022,-5.169,-7.72,-12.368,-0.833,1.006,-5.614,-2.157,0.858
110,0.025,-6.276,-2.81,-8.126,-0.083,-15.652,-3.703,-0.114,-0.343,-11.505,-1.377,-0.317,-0.024,-8.654,-16.108,-28.088,-2.365,2.757,-17.331,-4.235,2.342
120,0.034,-7.816,-3.468,-9.937,-0.098,-26.775,-4.293,-0.192,-0.404,-13.656,-1.582,-0.329,-0.023,-9.798,-19.493,-43.133,-3.051,3.619,-22.044,-4.751,3.531
